credential_id,credential_name,client_id,client_name,dynamic_commission,action
33046,Nautalia_623_Mostoles,1555,NAUTALIA VIAJES,TRUE,-0.5
33048,Nautalia_620_Alcorcon,1555,NAUTALIA VIAJES,TRUE,-0.5
33049,Nautalia_629_Getafe,1555,NAUTALIA VIAJES,TRUE,-0.5
33050,Nautalia_419_OlesaDeMontserrat,1555,NAUTALIA VIAJES,TRUE,-0.5
33051,Nautalia_421_Igualada,1555,NAUTALIA VIAJES,TRUE,-0.5
33052,Nautalia_618_Getafe,1555,NAUTALIA VIAJES,TRUE,-0.5
33053,Nautalia_625_TorrejonDeArdoz,1555,NAUTALIA VIAJES,TRUE,-0.5
33054,Nautalia_613_AlcalaDeHenares,1555,NAUTALIA VIAJES,TRUE,-0.5
33055,Nautalia_420_Martorell,1555,NAUTALIA VIAJES,TRUE,-0.5
33056,Nautalia_660_TresCantos,1555,NAUTALIA VIAJES,TRUE,-0.5
33057,Nautalia_621_SanSebastianDeLosReyes,1555,NAUTALIA VIAJES,TRUE,-0.5
33058,Nautalia_653_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33059,Nautalia_712_Navalcarnero,1555,NAUTALIA VIAJES,TRUE,-0.5
33060,Nautalia_615_Villalba,1555,NAUTALIA VIAJES,TRUE,-0.5
33061,Nautalia_661_PozueloDeAlarcon,1555,NAUTALIA VIAJES,TRUE,-0.5
33062,Nautalia_639_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33063,Nautalia_619_Majadahonda,1555,NAUTALIA VIAJES,TRUE,-0.5
33064,Nautalia_657_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33065,Nautalia_645_Alcobendas,1555,NAUTALIA VIAJES,TRUE,-0.5
33066,Nautalia_633_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33067,Nautalia_443_ElPratDeLlobregat,1555,NAUTALIA VIAJES,TRUE,-0.5
33068,Nautalia_786_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33069,Nautalia_617_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33070,Nautalia_417_SantBoiDeLlobregat,1555,NAUTALIA VIAJES,TRUE,-0.5
33071,Nautalia_665_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33072,Nautalia_413_HospitaletDeLlobregat,1555,NAUTALIA VIAJES,TRUE,-0.5
33073,Nautalia_606_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33074,Nautalia_94_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33075,Nautalia_433_HospitaletDeLlobregat,1555,NAUTALIA VIAJES,TRUE,-0.5
33076,Nautalia_414_Badalona,1555,NAUTALIA VIAJES,TRUE,-0.5
33077,Nautalia_92_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33078,Nautalia_21_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33079,Nautalia_649_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33080,Nautalia_646_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33081,Nautalia_422_CornellaDeLlobregat,1555,NAUTALIA VIAJES,TRUE,-0.5
33082,Nautalia_637_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33083,Nautalia_659_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33084,Nautalia_627_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33085,Nautalia_415_EspluguesDeLlobregat,1555,NAUTALIA VIAJES,TRUE,-0.5
33086,Nautalia_626_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33087,Nautalia_644_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33088,Nautalia_631_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33089,Nautalia_634_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33090,Nautalia_664_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33091,Nautalia_636_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33092,Nautalia_920_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33093,Nautalia_439_Tortosa,1555,NAUTALIA VIAJES,TRUE,-0.5
33094,Nautalia_451_Tarragona,1555,NAUTALIA VIAJES,TRUE,-0.5
33096,Nautalia_411_Amposta,1555,NAUTALIA VIAJES,TRUE,-0.5
33097,Nautalia_810_EventosMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33098,Nautalia_789_SantCarlesDeLaRapita,1555,NAUTALIA VIAJES,TRUE,-0.5
33099,Nautalia_812_BTCMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33100,Nautalia_814_BTCSevilla,1555,NAUTALIA VIAJES,TRUE,-0.5
33101,Nautalia_815_BTCBilbao,1555,NAUTALIA VIAJES,TRUE,-0.5
33103,Nautalia_817_BTCValencia,1555,NAUTALIA VIAJES,TRUE,-0.5
33104,Nautalia_819_BTCLasPalmas,1555,NAUTALIA VIAJES,TRUE,-0.5
33105,Nautalia_878_OutplantDominionBilbao,1555,NAUTALIA VIAJES,TRUE,-0.5
33106,Nautalia_820_BTCCastellon,1555,NAUTALIA VIAJES,TRUE,-0.5
33108,Nautalia_823_ImplantEsmalglassVillareal,1555,NAUTALIA VIAJES,TRUE,-0.5
33109,Nautalia_877_EventosDeportivosMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33110,Nautalia_825_BTCZaragoza,1555,NAUTALIA VIAJES,TRUE,-0.5
33111,Nautalia_835_BTCBarcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33112,Nautalia_876_OfcMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33113,Nautalia_838_ImplantVidralaLlodio,1555,NAUTALIA VIAJES,TRUE,-0.5
33114,Nautalia_858_BTCMalaga,1555,NAUTALIA VIAJES,TRUE,-0.5
33115,Nautalia_840_OutplantAernnovaBilbao,1555,NAUTALIA VIAJES,TRUE,-0.5
33116,Nautalia_863_ImplantUCMMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33117,Nautalia_846_ImplantGlobalPraxisBarcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33118,Nautalia_875_OutplantRoviMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33119,Nautalia_855_OutplantRadiusMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33120,Nautalia_874_OutplantBabcockMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33121,Nautalia_862_VacacionalColectivosEmpresasMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33122,Nautalia_860_ImplantSidenorBasuari,1555,NAUTALIA VIAJES,TRUE,-0.5
33123,Nautalia_861_BTCVigo,1555,NAUTALIA VIAJES,TRUE,-0.5
33124,Nautalia_868_EventosBarcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
33125,Nautalia_873_ImplantDeustoBilbao,1555,NAUTALIA VIAJES,TRUE,-0.5
33129,Nautalia_811_BusinessSupportMadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33427,Nautalia_677_Fuenlabrada,1555,NAUTALIA VIAJES,TRUE,-0.5
33428,Nautalia_676_Madrid,1555,NAUTALIA VIAJES,TRUE,-0.5
33429,Nautalia_879_OutplantDraguer,1555,NAUTALIA VIAJES,TRUE,-0.5
33431,Nautalia_880_INPLANT LEROY MERLIN,1555,NAUTALIA VIAJES,TRUE,-0.5
33432,Nautalia_881_INPLANT OBRAMAT,1555,NAUTALIA VIAJES,TRUE,-0.5
33538,Nautalia_882_OutplantPowerElectronics,1555,NAUTALIA VIAJES,TRUE,-0.5
33685,Nautalia_795_Granada,1555,NAUTALIA VIAJES,TRUE,-0.5
33889,Nautalia_360_Valencia,1555,NAUTALIA VIAJES,TRUE,-0.5
33949,Nautalia_885_OUTPLANT UPM,1555,NAUTALIA VIAJES,TRUE,-0.5
33950,Nautalia_884_INPLANT ALCAMPO,1555,NAUTALIA VIAJES,TRUE,-0.5
34051,Nautalia_886_Barcelona,1555,NAUTALIA VIAJES,TRUE,-0.5
34059,Nautalia_544_ACoruÃ±a,1555,NAUTALIA VIAJES,TRUE,-0.5
34237,Nautalia_887_INPLANT CGPJ,1555,NAUTALIA VIAJES,TRUE,-0.5
34238,Nautalia_147_Navarra,1555,NAUTALIA VIAJES,TRUE,-0.5
34301,Nautalia_798_Rivas Vaciamadrid,1555,NAUTALIA VIAJES,TRUE,-0.5
34302,Nautalia_148_Arrasate - Mondragón,1555,NAUTALIA VIAJES,TRUE,-0.5
34303,Nautalia_883_IMPLANTVISCOFA,1555,NAUTALIA VIAJES,TRUE,-0.5
